scenario,source,target,year,value,units
rcp45cooler_ssp3,Oil,Liquid Fuels,1975,28.57878144,EJ
rcp45cooler_ssp3,Solar,Electricity,1975,0.11798819589,EJ
rcp45cooler_ssp3,Surface Water,Domestic Water Use,1975,4.3746873630300005,km3
rcp45cooler_ssp3,Surface Water,Electricity Water Use,1975,6.168727951095001,km3
rcp45cooler_ssp3,Surface Water,Industry Water Use,1975,2.999234974424,km3
rcp45cooler_ssp3,Surface Water,Irrigation Water Use,1975,8.895787977912901,km3
rcp45cooler_ssp3,Surface Water,Livestock Water Use,1975,0.0012147013586900001,km3
rcp45cooler_ssp3,Surface Water,Mining Water Use,1975,0.3857548707903,km3
rcp45cooler_ssp3,Wind,Electricity,1975,0,EJ
rcp45cooler_ssp3,Biomass,Commercial,1990,0.07833225104285,EJ
rcp45cooler_ssp3,Biomass,Electricity,1990,0.3879785656,EJ
rcp45cooler_ssp3,Biomass,Gas,1990,0.0412077,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,1990,0,EJ
rcp45cooler_ssp3,Biomass,Industry,1990,1.5914829433,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,1990,0,EJ
rcp45cooler_ssp3,Biomass,Residential,1990,0.487035855814,EJ
rcp45cooler_ssp3,Coal,Commercial,1990,0.306497838156839,EJ
rcp45cooler_ssp3,Coal,Electricity,1990,16.39168971,EJ
rcp45cooler_ssp3,Coal,Gas,1990,0.0771478,EJ
rcp45cooler_ssp3,Coal,Hydrogen,1990,0,EJ
rcp45cooler_ssp3,Coal,Industry,1990,2.651633279427,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,1990,0,EJ
rcp45cooler_ssp3,Coal,Residential,1990,0.07661549693512901,EJ
rcp45cooler_ssp3,Desalination,Domestic Water Use,1990,0,km3
rcp45cooler_ssp3,Desalination,Electricity Water Use,1990,0,km3
rcp45cooler_ssp3,Desalination,Industry Water Use,1990,0,km3
rcp45cooler_ssp3,Desalination,Irrigation Water Use,1990,0,km3
rcp45cooler_ssp3,Desalination,Livestock Water Use,1990,0,km3
rcp45cooler_ssp3,Desalination,Mining Water Use,1990,0,km3
rcp45cooler_ssp3,Domestic Water Use,Residential,1990,5.6880551,km3
rcp45cooler_ssp3,Electricity,Commercial,1990,3.06294941645497,EJ
rcp45cooler_ssp3,Electricity,Industry,1990,3.271982576,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,1990,0.1137084,EJ
rcp45cooler_ssp3,Electricity,Losses,1990,14.68646337928876,EJ
