scenario,source,target,year,value,units
rcp45cooler_ssp3,water_td_elec_W,gas (CC),1975,2.113258830745,km3
rcp45cooler_ssp3,water_td_elec_W,gas (CT),1975,0.105596434572,km3
rcp45cooler_ssp3,water_td_elec_W,gas (steam),1975,1.3638620730685,km3
rcp45cooler_ssp3,water_td_elec_W,gas (steam/CT),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,Gen_II_LWR,1975,11.827769420000001,km3
rcp45cooler_ssp3,water_td_elec_W,Gen_III,1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,geothermal,1975,0.022945952099999996,km3
rcp45cooler_ssp3,water_td_elec_W,geothermal (dry_hybrid),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,hydro,1975,3.31603453602,km3
rcp45cooler_ssp3,water_td_elec_W,PV,1975,5.382575501e-4,km3
rcp45cooler_ssp3,water_td_elec_W,PV_storage,1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CC),1975,0.03994754,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CT),1975,0.18944896662900002,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (steam),1975,7.491147082,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (steam/CT),1975,0,km3
rcp45cooler_ssp3,water_td_ind_W,industry,1975,38.30071413,km3
rcp45cooler_ssp3,water_td_irr_W,biomass,1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,Corn,1975,17.0477094571327,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (conv CCS),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (conv),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (IGCC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (IGCC),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,FiberCrop,1975,17.060448642733,km3
rcp45cooler_ssp3,water_td_irr_W,FodderGrass,1975,0.158921023,km3
rcp45cooler_ssp3,water_td_irr_W,FodderHerb,1975,5.077310076163,km3
rcp45cooler_ssp3,water_td_irr_W,MiscCrop,1975,16.03393126854,km3
rcp45cooler_ssp3,water_td_irr_W,OilCrop,1975,7.838355833315,km3
rcp45cooler_ssp3,water_td_irr_W,OtherGrain,1975,12.30451487264,km3
rcp45cooler_ssp3,water_td_irr_W,PalmFruit,1975,7.72723e-4,km3
rcp45cooler_ssp3,water_td_irr_W,Rice,1975,7.1097630534,km3
rcp45cooler_ssp3,water_td_irr_W,RootTuber,1975,2.32855581297,km3
rcp45cooler_ssp3,water_td_irr_W,SugarCrop,1975,4.99167919854,km3
rcp45cooler_ssp3,water_td_irr_W,Wheat,1975,11.563048176091,km3
rcp45cooler_ssp3,water_td_pri_W,nuclearFuelGenII,1975,0.0377757,km3
rcp45cooler_ssp3,water_td_pri_W,nuclearFuelGenIII,1975,0,km3
rcp45cooler_ssp3,water_td_pri_W,regional coal,1975,0.16187104000000002,km3
rcp45cooler_ssp3,water_td_pri_W,regional natural gas,1975,3.557233e-4,km3
rcp45cooler_ssp3,water_td_pri_W,regional oil,1975,4.5301100000000005,km3
rcp45cooler_ssp3,water_td_pri_W,unconventional oil production,1975,0,km3
rcp45cooler_ssp3,Arkansas White Red,desalination,1990,0,km3
rcp45cooler_ssp3,Arkansas White Red,groundwater,1990,2.05069,km3
rcp45cooler_ssp3,Arkansas White Red,runoff,1990,17.7299,km3
rcp45cooler_ssp3,California River,desalination,1990,0,km3
rcp45cooler_ssp3,California River,groundwater,1990,5.07885,km3
rcp45cooler_ssp3,California River,runoff,1990,24.9532,km3
rcp45cooler_ssp3,desalination,water_td_an_W,1990,0,km3
rcp45cooler_ssp3,desalination,water_td_dom_W,1990,0,km3
rcp45cooler_ssp3,desalination,water_td_elec_W,1990,0,km3
rcp45cooler_ssp3,desalination,water_td_ind_W,1990,0,km3
rcp45cooler_ssp3,desalination,water_td_irr_W,1990,0,km3
rcp45cooler_ssp3,desalination,water_td_pri_W,1990,0,km3
rcp45cooler_ssp3,Fraser,groundwater,1990,0,km3
rcp45cooler_ssp3,Fraser,runoff,1990,1.48312,km3
rcp45cooler_ssp3,Great,desalination,1990,0,km3
rcp45cooler_ssp3,Great,groundwater,1990,1.65531,km3
rcp45cooler_ssp3,Great,runoff,1990,0.983736,km3
rcp45cooler_ssp3,Great Lakes,groundwater,1990,0,km3
rcp45cooler_ssp3,Great Lakes,runoff,1990,44.6753,km3
rcp45cooler_ssp3,groundwater,water_td_an_W,1990,0.24329858271690943,km3
rcp45cooler_ssp3,groundwater,water_td_dom_W,1990,4.946043824409208,km3
rcp45cooler_ssp3,groundwater,water_td_elec_W,1990,4.6024028646603785,km3
rcp45cooler_ssp3,groundwater,water_td_ind_W,1990,1.840192378331137,km3
rcp45cooler_ssp3,groundwater,water_td_irr_W,1990,21.304479507645272,km3
rcp45cooler_ssp3,groundwater,water_td_pri_W,1990,0.4973819075121158,km3
rcp45cooler_ssp3,Lower Colorado River,desalination,1990,0,km3
rcp45cooler_ssp3,Lower Colorado River,groundwater,1990,3.16572,km3
rcp45cooler_ssp3,Lower Colorado River,runoff,1990,2.70824,km3
rcp45cooler_ssp3,Lower Mississippi River,desalination,1990,0,km3
rcp45cooler_ssp3,Lower Mississippi River,groundwater,1990,8.48962,km3
rcp45cooler_ssp3,Lower Mississippi River,runoff,1990,16.0265,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,desalination,1990,0,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,groundwater,1990,5.7446,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,runoff,1990,4.89685,km3
rcp45cooler_ssp3,Mid Atlantic,groundwater,1990,0,km3
rcp45cooler_ssp3,Mid Atlantic,runoff,1990,24.9795,km3
rcp45cooler_ssp3,Missouri River,desalination,1990,0,km3
rcp45cooler_ssp3,Missouri River,groundwater,1990,4.76328,km3
rcp45cooler_ssp3,Missouri River,runoff,1990,34.0604,km3
rcp45cooler_ssp3,New England,groundwater,1990,0,km3
rcp45cooler_ssp3,New England,runoff,1990,4.32089,km3
rcp45cooler_ssp3,Ohio River,groundwater,1990,0,km3
rcp45cooler_ssp3,Ohio River,runoff,1990,29.2563,km3
rcp45cooler_ssp3,Pacific Northwest,groundwater,1990,0,km3
rcp45cooler_ssp3,Pacific Northwest,runoff,1990,17.8229,km3
rcp45cooler_ssp3,Rio Grande River,desalination,1990,0,km3
rcp45cooler_ssp3,Rio Grande River,groundwater,1990,4.87936,km3
rcp45cooler_ssp3,Rio Grande River,runoff,1990,7.50062,km3
rcp45cooler_ssp3,runoff,water_td_an_W,1990,2.1520622817230906,km3
rcp45cooler_ssp3,runoff,water_td_dom_W,1990,57.72664753349079,km3
rcp45cooler_ssp3,runoff,water_td_elec_W,1990,151.62399878310262,km3
rcp45cooler_ssp3,runoff,water_td_ind_W,1990,29.046796488578863,km3
rcp45cooler_ssp3,runoff,water_td_irr_W,1990,99.77134079641473,km3
rcp45cooler_ssp3,runoff,water_td_pri_W,1990,4.859339575360885,km3
rcp45cooler_ssp3,Saskatchewan-Nelson,groundwater,1990,0,km3
rcp45cooler_ssp3,Saskatchewan-Nelson,runoff,1990,9.58091,km3
rcp45cooler_ssp3,South Atlantic Gulf,desalination,1990,0,km3
rcp45cooler_ssp3,South Atlantic Gulf,groundwater,1990,0,km3
rcp45cooler_ssp3,South Atlantic Gulf,runoff,1990,44.3692,km3
rcp45cooler_ssp3,Tennessee River,groundwater,1990,0,km3
rcp45cooler_ssp3,Tennessee River,runoff,1990,7.73574,km3
rcp45cooler_ssp3,Texas Gulf Coast,desalination,1990,0,km3
rcp45cooler_ssp3,Texas Gulf Coast,groundwater,1990,0,km3
rcp45cooler_ssp3,Texas Gulf Coast,runoff,1990,22.2347,km3
rcp45cooler_ssp3,Upper Colorado River,groundwater,1990,0,km3
rcp45cooler_ssp3,Upper Colorado River,runoff,1990,0.927077,km3
rcp45cooler_ssp3,Upper Mississippi,groundwater,1990,0,km3
rcp45cooler_ssp3,Upper Mississippi,runoff,1990,31.6816,km3
rcp45cooler_ssp3,water_td_an_W,Beef,1990,1.3885531163,km3
rcp45cooler_ssp3,water_td_an_W,Dairy,1990,0.2877645694,km3
rcp45cooler_ssp3,water_td_an_W,Pork,1990,1.169372592,km3
rcp45cooler_ssp3,water_td_an_W,Poultry,1990,1.777483945e-4,km3
rcp45cooler_ssp3,water_td_an_W,SheepGoat,1990,0.065169319655,km3
rcp45cooler_ssp3,water_td_dom_W,municipal water,1990,69.843951,km3
rcp45cooler_ssp3,water_td_elec_W,biomass (conv CCS),1990,0,km3
