scenario,region,basin,resource,subresource,year,value,Units
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2065,10.0634,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2070,27.9999,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2075,15.637,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2080,10.1454,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2085,6.87194,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2090,3.39559e-5,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2095,6.82588e-5,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,groundwater,2100,0,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,1975,24.9348,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,1990,24.9532,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2005,24.9942,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2010,25.0193,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2015,25.8206,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2020,30.5736,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2025,35.126,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2030,21.0073,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2035,27.6198,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2040,33.4871,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2045,26.1224,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2050,24.2848,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2055,19.2554,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2060,33.1539,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2065,38.1367,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2070,23.447,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2075,33.2065,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2080,42.6137,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2085,38.8386,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2090,42.588,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2095,40.4401,km^3
rcp45cooler_ssp3,USA,California River,California River_water withdrawals,runoff,2100,56.3728,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,1975,0,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,1990,1.65531,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2005,2.01889,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2010,2.08138,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2015,2.04546,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2020,2.12107,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2025,2.1355,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2030,3.24067,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2035,3.42923,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2040,3.41092,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2045,4.03314,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2050,4.17803,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2055,4.72546,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2060,3.88438,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2065,3.83034,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2070,4.91753,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2075,4.91763,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2080,5.19847,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2085,5.94912,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2090,6.26838,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2095,7.00847,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,groundwater,2100,6.12598,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,1975,0.980384,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,1990,0.983736,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2005,0.987826,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2010,0.989231,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2015,0.997532,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2020,1.32495,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2025,1.63538,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2030,0.838352,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2035,0.778539,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2040,1.13685,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2045,0.688355,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2050,0.757088,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2055,0.662688,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2060,1.46502,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2065,1.65057,km^3
