REF,USA,elect_td_ind,industrial wastewater treatment,0.0359612,0.0442564,0.0407306,0.040052,0.0472667,0.0524792,0.0576592,0.0622335,0.0662736,0.0698095,0.0729114,0.0760661,0.0794933,0.0829992,0.0861493,0.0889527,0.0914832,0.0938345,0.0960311,0.0979067,0.0993228
REF,USA,elect_td_ind,industrial water abstraction,0.00692937,0.00711881,0.00669824,0.00658441,0.00702382,0.00745479,0.00798329,0.00847312,0.00891129,0.00929614,0.0096381,0.00999155,0.0103806,0.0107765,0.0111298,0.0114405,0.0117142,0.0119667,0.012201,0.0123958,0.0125335
REF,USA,elect_td_ind,industrial water treatment,0.0155911,0.0160173,0.015071,0.0148149,0.0158036,0.0167733,0.0179624,0.0190645,0.0200504,0.0209163,0.0216857,0.022481,0.0233564,0.0242471,0.025042,0.0257412,0.026357,0.0269251,0.0274522,0.0278905,0.0282004
REF,USA,elect_td_ind,iron and steel,0.2623342,0.211642,0.17263312,0.19406258,0.15423429,0.164141269,0.173637203,0.18205004,0.189001298,0.193507929,0.19569569,0.196624251,0.197482756,0.197351534,0.195547992,0.191865946,0.186869249,0.180620285,0.173723933,0.166070797,0.157293686
REF,USA,elect_td_ind,irrigation water abstraction,0.0469783,0.0582542,0.0586163,0.0643454,0.0663412,0.0695297,0.0721594,0.0749768,0.0785436,0.0844035,0.0894604,0.0940073,0.0970335,0.0993109,0.100018,0.0999134,0.0995129,0.0992928,0.0991096,0.0987956,0.0981301
REF,USA,elect_td_ind,mining energy use,0.12085,0.0996687,0.121561,0.140859,0.14881,0.161221076,0.172373066,0.179692276,0.183718985,0.189268043,0.196879828,0.204170511,0.210602087,0.21476156,0.21830318,0.22196248,0.22607991,0.22930781,0.23059238,0.23038438,0.22961989
REF,USA,elect_td_ind,other industrial energy use,1.8132,2.14871,2.01769,1.922,2.028938,2.198032,2.465046,2.825417,3.1960579,3.467839,3.69262351,3.94359953,4.21365808,4.45551624,4.6607265,4.8406243,5.01871459,5.18781815,5.3338616,5.4488015,5.5325298
REF,USA,elect_td_ind,refining,0.117283,0.14018637,0.1908638,0.2040117,0.21284658,0.2074825,0.19122251,0.17392097,0.16400023,0.16307813,0.16259115,0.1630807,0.163322925,0.16540874,0.16624981,0.165600616,0.164860693,0.165139066,0.1664424,0.168686205,0.171361267
REF,USA,elect_td_trn,H2 wholesale dispensing,0,0,0,0,0,0.006924484,0.052730264,0.12205066,0.201565547,0.28217117,0.36521078,0.4292474,0.48914504,0.54541294,0.59534068,0.63641591,0.6668728,0.68853995,0.70518551,0.71793938,0.72577723
REF,USA,elect_td_trn,trn_aviation_intl,0,0,0,0,0,0,0,1.50E-07,1.24E-06,9.58E-06,6.80E-05,1.29E-04,2.34E-04,3.69E-04,5.16E-04,6.43E-04,7.33E-04,7.87E-04,8.18E-04,8.33E-04,8.40E-04
REF,USA,elect_td_trn,trn_freight,0,0,0,0,0,0.00649488,0.0275836,0.054383821,0.06878523,0.07568642,0.08080975,0.0883842,0.0966038,0.1024645,0.1068771,0.1106701,0.1138155,0.1162986,0.1183821,0.1201769,0.1216746
REF,USA,elect_td_trn,trn_freight_road,0,0,0,0,0,0.005886162,0.054568886,0.224602636,0.412084384,0.631355895,0.87027939,1.0103724,1.0949245,1.1474433,1.180512,1.2117093,1.2408432,1.2643077,1.2803916,1.29075,1.2964842
REF,USA,elect_td_trn,trn_pass,0.014851499,0.022189499,0.022845599,0.031251698,0.03446139,0.03778323,0.04158266,0.05245889,0.0680784,0.0991955,0.1593012,0.2431072,0.3681113,0.5043741,0.6318439,0.7302856,0.801039,0.845895,0.8744817,0.8941211,0.9083161
REF,USA,elect_td_trn,trn_pass_road,0,0,0,0,0,8.03E-04,0.00323161,0.00835937,0.0119785,0.0131874,0.0136034,0.0136263,0.0136828,0.0136775,0.0136604,0.0136162,0.0135117,0.013363,0.0131801,0.012974,0.0127518
REF,USA,elect_td_trn,trn_pass_road_LDV,0,0,0,0,0,0.00951675,0.0151484,0.0167006,0.018188,0.0195759,0.0208317,0.0222242,0.0237426,0.0253226,0.0268809,0.0283992,0.0299137,0.0313974,0.0328379,0.0342483,0.0352472
REF,USA,elect_td_trn,trn_pass_road_LDV_4W,0,0,0,0,0,0.1831766,0.7797219,1.2499416,1.6131852,1.7712708,1.8334029,1.8426842,1.8624323,1.8866877,1.9118112,1.9334678,1.9486649,1.9550466,1.9533371,1.9444616,1.9327538
REF,USA,elect_td_trn,trn_shipping_intl,0,0,0,0,0,0,0,3.25E-05,9.33E-05,2.71E-04,6.45E-04,0.0010892,0.00150958,0.00168743,0.00178034,0.00183372,0.00183213,0.00180112,0.00175637,0.00170533,0.00164876
