scenario,region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2024-30-4T11:58:23-04:00",USA,341.5927134,417.1795834,408.1259922,382.4530071,373.506414,373.6052535,372.9452077,368.7820035,362.8197233,359.272215,354.2155361,349.6759718,344.8562225,343.9101356,342.103743,333.4395308,334.232045,333.894987,332.8676278,331.2281946,328.5457988,km^3
