scenario,region,basin,resource,subresource,Units,year,value,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2021,3.152902,0.12529314460279725
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2022,3.127184,0.1227502733554865
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2023,3.101466,0.12026889029472349
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2024,3.075748,0.11784679182949834
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2025,3.05003,0.115481878421117
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2026,3.504528,0.13087228923437352
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2027,3.959026,0.1458466613859151
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2028,4.413524,0.16042163964381537
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2029,4.868022,0.17461299256836402
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2030,5.32252,0.18843566941940434
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2031,5.0658959999999995,0.18235861265803538
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2032,4.809272,0.17607421161363604
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2033,4.552648,0.1695716704842176
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2034,4.296023999999999,0.16283943075655774
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2035,4.0394,0.15586510263929618
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2036,5.36808,0.2065141787875244
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2037,6.69676,0.2568611266239943
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2038,8.02544,0.3069086414616387
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2039,9.354120000000002,0.3566593866482836
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2040,10.6828,0.40611599403911075
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2041,10.97822,0.4129103162322632
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2042,11.27364,0.41956171259886477
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2043,11.56906,0.42607464609360557
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2044,11.86448,0.4324533957736171
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2045,12.1599,0.43870206617384433
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2046,11.315900000000001,0.4118709867156238
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2047,10.4719,0.384560017568303
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2048,9.6279,0.35675616789205605
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2049,8.7839,0.32844597368663114
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2050,7.9399,0.29961547605121447
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2051,9.26052,0.3434205285709094
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2052,10.58114,0.38573966908706203
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2053,11.90176,0.4266472421513893
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2054,13.22238,0.46621271410367515
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2055,14.543,0.5045010667267965
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2056,12.567571999999998,0.4428577106944053
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2057,10.592144,0.37923618459786407
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2058,8.616716,0.31353971478698683
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2059,6.641287999999999,0.24566511064549007
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2060,4.66586,0.17550222374684796
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2061,4.395188,0.1655854156645316
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2062,4.124516,0.15563685092005947
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2063,3.853844,0.1456563767269332
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2064,3.5831720000000002,0.13564383931697235
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2065,3.3125,0.12559908393241725
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2066,3.908952,0.1450274238390763
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2067,4.505404,0.16363779267654155
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2068,5.101856,0.1814807826986947
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2069,5.698308000000001,0.19860289820482166
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2070,6.29476,0.2150469602576699
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2071,5.916844,0.20485442661337241
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2072,5.538928,0.1943840356938509
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2073,5.1610119999999995,0.1836242685466484
