scenario,source,target,year,value,units
rcp45cooler_ssp3,Gas,Transportation-Vehicle,1990,0,EJ
rcp45cooler_ssp3,Geothermal,Electricity,1990,0.0568080688,EJ
rcp45cooler_ssp3,Hydrogen,Industry,1990,0,EJ
rcp45cooler_ssp3,Hydrogen,Losses,1990,0,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,1990,0,EJ
rcp45cooler_ssp3,Hydropower,Electricity,1990,0.9766725589,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,1990,0.8161347177506,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,1990,0.671583556789,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,1990,6.90456596681,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,1990,2.8471990714575526,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,1990,1.15821757376285,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,1990,4.94622024783,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,1990,16.4071792976,EJ
rcp45cooler_ssp3,Natural Gas,Gas,1990,18.2065,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,1990,0,EJ
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,1990,0,EJ
rcp45cooler_ssp3,Nuclear,Electricity,1990,2.2013026,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,1990,0,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,1990,32.99908969,EJ
rcp45cooler_ssp3,Solar,Electricity,1990,0.11798819589000001,EJ
rcp45cooler_ssp3,Wind,Electricity,1990,0.9944849292,EJ
rcp45cooler_ssp3,Biomass,Commercial,2005,0.110152086011091,EJ
rcp45cooler_ssp3,Biomass,Electricity,2005,0.4898869303,EJ
rcp45cooler_ssp3,Biomass,Gas,2005,0.21464,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2005,0,EJ
rcp45cooler_ssp3,Biomass,Industry,2005,1.5960952339,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2005,0.33817175495,EJ
rcp45cooler_ssp3,Biomass,Residential,2005,0.46236916899384,EJ
rcp45cooler_ssp3,Coal,Commercial,2005,0.07485499253574,EJ
rcp45cooler_ssp3,Coal,Electricity,2005,20.87456703,EJ
rcp45cooler_ssp3,Coal,Gas,2005,0.0759338,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2005,0,EJ
rcp45cooler_ssp3,Coal,Industry,2005,1.6485009370000001,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2005,0,EJ
rcp45cooler_ssp3,Coal,Residential,2005,0.006508399785124,EJ
rcp45cooler_ssp3,Electricity,Commercial,2005,4.85337189648215,EJ
rcp45cooler_ssp3,Electricity,Industry,2005,3.497819659,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2005,0.136006226182,EJ
rcp45cooler_ssp3,Electricity,Losses,2005,19.23005033078882,EJ
rcp45cooler_ssp3,Electricity,Residential,2005,5.2154573591927305,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2005,0.022195170504299998,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2005,0,EJ
rcp45cooler_ssp3,Gas,Commercial,2005,2.89600669511194,EJ
rcp45cooler_ssp3,Gas,Electricity,2005,5.80825070621,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2005,0,EJ
