scenario,target,source,year,value
rcp45cooler_ssp3,groundwater,Great,2065,3.83034
rcp45cooler_ssp3,groundwater,Great,2070,4.91753
rcp45cooler_ssp3,groundwater,Great,2075,4.91763
rcp45cooler_ssp3,groundwater,Great,2080,5.19847
rcp45cooler_ssp3,groundwater,Great,2085,5.94912
rcp45cooler_ssp3,groundwater,Great,2090,6.26838
rcp45cooler_ssp3,groundwater,Great,2095,7.00847
rcp45cooler_ssp3,groundwater,Great,2100,6.12598
rcp45cooler_ssp3,runoff,Great,1975,0.980384
rcp45cooler_ssp3,runoff,Great,1990,0.983736
rcp45cooler_ssp3,runoff,Great,2005,0.987826
rcp45cooler_ssp3,runoff,Great,2010,0.989231
rcp45cooler_ssp3,runoff,Great,2015,0.997532
rcp45cooler_ssp3,runoff,Great,2020,1.32495
rcp45cooler_ssp3,runoff,Great,2025,1.63538
rcp45cooler_ssp3,runoff,Great,2030,0.838352
rcp45cooler_ssp3,runoff,Great,2035,0.778539
rcp45cooler_ssp3,runoff,Great,2040,1.13685
rcp45cooler_ssp3,runoff,Great,2045,0.688355
rcp45cooler_ssp3,runoff,Great,2050,0.757088
rcp45cooler_ssp3,runoff,Great,2055,0.662688
rcp45cooler_ssp3,runoff,Great,2060,1.46502
rcp45cooler_ssp3,runoff,Great,2065,1.65057
rcp45cooler_ssp3,runoff,Great,2070,0.786548
rcp45cooler_ssp3,runoff,Great,2075,0.745307
rcp45cooler_ssp3,runoff,Great,2080,1.05462
rcp45cooler_ssp3,runoff,Great,2085,0.644615
rcp45cooler_ssp3,runoff,Great,2090,0.74052
rcp45cooler_ssp3,runoff,Great,2095,0.654619
rcp45cooler_ssp3,runoff,Great,2100,1.51988
rcp45cooler_ssp3,groundwater,Lower Colorado River,1975,0
rcp45cooler_ssp3,groundwater,Lower Colorado River,1990,3.16572
rcp45cooler_ssp3,groundwater,Lower Colorado River,2005,4.44444
rcp45cooler_ssp3,groundwater,Lower Colorado River,2010,4.18551
rcp45cooler_ssp3,groundwater,Lower Colorado River,2015,4.28184
rcp45cooler_ssp3,groundwater,Lower Colorado River,2020,5.40155
rcp45cooler_ssp3,groundwater,Lower Colorado River,2025,5.10182
rcp45cooler_ssp3,groundwater,Lower Colorado River,2030,7.16767
rcp45cooler_ssp3,groundwater,Lower Colorado River,2035,4.74812
rcp45cooler_ssp3,groundwater,Lower Colorado River,2040,8.89989
rcp45cooler_ssp3,groundwater,Lower Colorado River,2045,8.43162
rcp45cooler_ssp3,groundwater,Lower Colorado River,2050,9.14347
rcp45cooler_ssp3,groundwater,Lower Colorado River,2055,10.2075
rcp45cooler_ssp3,groundwater,Lower Colorado River,2060,8.99907
rcp45cooler_ssp3,groundwater,Lower Colorado River,2065,8.10029
rcp45cooler_ssp3,groundwater,Lower Colorado River,2070,11.4028
rcp45cooler_ssp3,groundwater,Lower Colorado River,2075,8.34963
rcp45cooler_ssp3,groundwater,Lower Colorado River,2080,12.8602
rcp45cooler_ssp3,groundwater,Lower Colorado River,2085,13.917
rcp45cooler_ssp3,groundwater,Lower Colorado River,2090,16.811
rcp45cooler_ssp3,groundwater,Lower Colorado River,2095,16.7408
rcp45cooler_ssp3,groundwater,Lower Colorado River,2100,7.85545
rcp45cooler_ssp3,runoff,Lower Colorado River,1975,2.70739
rcp45cooler_ssp3,runoff,Lower Colorado River,1990,2.70824
rcp45cooler_ssp3,runoff,Lower Colorado River,2005,2.70942
rcp45cooler_ssp3,runoff,Lower Colorado River,2010,2.7098
rcp45cooler_ssp3,runoff,Lower Colorado River,2015,2.71018
rcp45cooler_ssp3,runoff,Lower Colorado River,2020,2.57609
rcp45cooler_ssp3,runoff,Lower Colorado River,2025,3.47205
rcp45cooler_ssp3,runoff,Lower Colorado River,2030,2.22673
rcp45cooler_ssp3,runoff,Lower Colorado River,2035,5.22088
rcp45cooler_ssp3,runoff,Lower Colorado River,2040,1.33579
rcp45cooler_ssp3,runoff,Lower Colorado River,2045,2.13383
rcp45cooler_ssp3,runoff,Lower Colorado River,2050,2.04031
rcp45cooler_ssp3,runoff,Lower Colorado River,2055,1.48958
